# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	15065
#@/user_id	brainocean_emacs
a 	啊	c=20 d=0.118374 t=15065
nan ge 	楠哥	c=1 d=1.36575e-20 t=15065
nan yi 	難以	c=0 d=0.0112564 t=15065
nan yi kuo zhan dao fu za ji neng 	難以擴展到複雜技能	c=1 d=0.0485578 t=15065
nan yi qian yi 	難以遷移	c=1 d=0.0645703 t=15065
nan yi xing cheng 	難以形成	c=1 d=0.0161635 t=15065
nan zi 	男子	c=0 d=0.1 t=5486
nao 	腦	c=1 d=1 t=5786
nao hai 	腦海	c=0 d=2.22168e-10 t=15065
ne 	呢	c=9 d=0.0498557 t=15065
nei 	內	c=2 d=9.99246e-10 t=15065
nei bu 	內部	c=6 d=0.0408608 t=15065
nei fei tai 	內啡肽	c=1 d=1.4467e-21 t=15065
nei rong 	內容	c=16 d=0.35706 t=15065
nei rong he shi jian 	內容和時間	c=1 d=0.00042433 t=15065
nei rong lie biao 	內容列表	c=1 d=1.83662e-05 t=15065
nei zhi 	內置	c=0 d=7.82971e-06 t=15065
nei zhi de 	內置的	c=1 d=7.86896e-05 t=15065
nen 	嫩	c=0 d=5.14974e-18 t=15065
neng 	能	c=13 d=0.463085 t=15065
neng ba 	能把	c=1 d=0.414783 t=15065
neng bang 	能幫	c=0 d=3.22693e-19 t=15065
neng bang wo ding dao 	能幫我訂到	c=1 d=3.24311e-18 t=15065
neng bu neng 	能不能	c=9 d=0.161755 t=15065
neng dao 	能到	c=1 d=0.0473589 t=15065
neng de duo shao fen 	能的多少分	c=1 d=1.81896e-09 t=15065
neng fou 	能否	c=3 d=1.80927e-05 t=15065
neng gai 	能改	c=0 d=0.00407622 t=15065
neng gai ma 	能改嗎	c=1 d=0.0409665 t=15065
neng gou 	能夠	c=20 d=0.628633 t=15065
neng gou bu zhi 	能夠佈置	c=1 d=0.145148 t=15065
neng gou kan dao 	能夠看到	c=1 d=0.0665368 t=15065
neng gou ti xian 	能夠體現	c=1 d=0.0190631 t=15065
neng gou you 	能夠有	c=1 d=0.00036159 t=15065
neng gou zhao dao ling yi ge nian tou 	能夠找到另一個念頭	c=1 d=7.15825e-09 t=15065
neng gou zi dong 	能夠自動	c=1 d=0.0930145 t=15065
neng gou zuo shen me 	能夠做什麼	c=1 d=0.960789 t=15065
neng jin qu ma 	能進去嗎	c=1 d=0.744532 t=15065
neng ju ji ge li zi 	能舉幾個例子	c=1 d=1.20839e-21 t=15065
neng kan chu yuan yin ma 	能看出原因嗎	c=1 d=0.00398587 t=15065
neng kan dao 	能看到	c=1 d=0.112478 t=15065
neng li 	能力	c=9 d=0.116079 t=15065
neng li ceng 	能力層	c=1 d=0.000134358 t=15065
neng li quan 	能力圈	c=1 d=0.084163 t=15065
neng xia zai 	能下載	c=1 d=6.08929e-18 t=15065
neng yong 	能用	c=0 d=0.00139818 t=15065
neng yong ma 	能用嗎	c=1 d=0.00196945 t=15065
ni 	你	c=28 d=1.65639 t=15065
ni an pai yi ge 	你安排一個	c=1 d=1.71893e-20 t=15065
ni an xin 	你安心	c=1 d=0.0658748 t=15065
ni ba 	你把	c=3 d=0.00186406 t=15065
ni ba wo hao 	你把握好	c=1 d=5.48327e-20 t=15065
ni bang wo 	你幫我	c=1 d=0.00535353 t=15065
ni bu lai 	你不來	c=1 d=2.18444e-16 t=15065
ni bu yong dan xin 	你不用擔心	c=1 d=0.0713613 t=15065
ni can jia 	你參加	c=2 d=0.995012 t=15065
ni chou kong 	你抽空	c=1 d=1.52824e-19 t=15065
ni chu lai na dong xi 	你出來拿東西	c=1 d=0.0284388 t=15065
ni da ge dian hua 	你打個電話	c=1 d=3.92306e-22 t=15065
ni dao wo de 	你到我的	c=1 d=1.20383e-06 t=15065
ni de 	你的	c=24 d=1.09403 t=15065
ni de jie da 	你的解答	c=1 d=1.30858e-08 t=15065
ni de kan fa ne 	你的看法呢	c=1 d=4.08038e-14 t=15065
ni de ming zi 	你的名字	c=1 d=8.74013e-05 t=15065
ni de yi jian ne 	你的意見呢	c=1 d=5.77834e-19 t=15065
ni de yi yang dun cuo 	你的抑揚頓挫	c=1 d=1.58623e-16 t=15065
ni deng xia 	你等下	c=1 d=0.00708341 t=15065
ni dong 	你懂	c=0 d=5.26827e-21 t=15065
ni dong de 	你懂的	c=1 d=5.29468e-20 t=15065
ni dui mu qian 	你對目前	c=1 d=0.000804733 t=15065
ni duo fei xin 	你多費心	c=1 d=3.51991e-11 t=15065
ni fa 	你發	c=1 d=0.677057 t=15065
ni fa de 	你發的	c=1 d=4.86157e-16 t=15065
ni fang jin qu ye xing 	你放進去也行	c=1 d=6.18237e-20 t=15065
ni fang shou qu zuo jiu hao le 	你放手去做就好了	c=1 d=0.00373503 t=15065
ni fang zai 	你放在	c=1 d=6.19626e-17 t=15065
ni gai 	你該	c=0 d=0.00420036 t=15065
ni gang cai 	你剛纔	c=1 d=8.03612e-17 t=15065
ni gang fa 	你剛發	c=1 d=0.733447 t=15065
ni ge ren 	你個人	c=1 d=3.62144e-22 t=15065
ni gei 	你給	c=1 d=0.0769192 t=15065
ni gei ta 	你給他	c=1 d=0.540641 t=15065
ni gua le 	你掛了	c=1 d=3.89818e-06 t=15065
ni hai mei 	你還沒	c=1 d=3.30806e-16 t=15065
ni hai shi jin bu qu ma 	你還是進不去嗎	c=1 d=0.000389752 t=15065
ni hao 	你好	c=7 d=0.378863 t=15065
ni he 	你和	c=5 d=0.15548 t=15065
ni he ta gou tong 	你和他溝通	c=1 d=1.07899e-12 t=15065
ni hui 	你會	c=1 d=0.0911727 t=15065
ni huo de 	你獲得	c=1 d=8.27522e-09 t=15065
ni jin lai le ba 	你進來了吧	c=1 d=0.00078095 t=15065
ni jin tian 	你今天	c=6 d=0.00164502 t=15065
ni jin tian de 	你今天的	c=1 d=1.27233e-10 t=15065
ni jin tian xia wu 	你今天下午	c=1 d=4.43318e-19 t=15065
ni jin tian zai ban gong shi ma 	你今天在辦公室嗎	c=1 d=5.90933e-18 t=15065
ni jiu 	你就	c=2 d=0.0858632 t=15065
ni jiu gou xing yun 	你就夠幸運	c=1 d=5.83145e-09 t=15065
ni jue de 	你覺得	c=12 d=0.156453 t=15065
ni kai hui 	你開會	c=2 d=0.000191619 t=15065
ni kan dao le 	你看到了	c=1 d=4.51183e-20 t=15065
ni kan guo ba 	你看過吧	c=1 d=0.0939493 t=15065
ni kan kan 	你看看	c=10 d=0.00154261 t=15065
ni kan kan you mei you wen ti 	你看看有沒有問題	c=1 d=8.27945e-15 t=15065
ni kan kan zen me 	你看看怎麼	c=1 d=5.17291e-11 t=15065
ni kan kan zhe ge 	你看看這個	c=1 d=3.4e-15 t=15065
ni kan neng yong ma 	你看能用嗎	c=1 d=0.0140519 t=15065
ni kan shen me shi hou 	你看什麼時候	c=1 d=0.00105946 t=15065
ni kan zui hou yi ge 	你看最後一個	c=1 d=0.235746 t=15065
ni ke neng 	你可能	c=1 d=4.47621e-15 t=15065
ni ke yi 	你可以	c=8 d=0.0017555 t=15065
ni ke yi jie zhu 	你可以藉助	c=1 d=1.20757e-13 t=15065
ni ke yi la wo 	你可以拉我	c=1 d=2.16868e-19 t=15065
ni ke yi ma 	你可以嗎	c=1 d=0.00763509 t=15065
ni ken ding 	你肯定	c=2 d=1.28023e-15 t=15065
ni lai 	你來	c=7 d=0.00138785 t=15065
ni lai ding 	你來定	c=1 d=2.57632e-16 t=15065
ni lai jia yi xia 	你來加一下	c=1 d=3.80453e-14 t=15065
ni lai jiang 	你來講	c=1 d=8.97055e-17 t=15065
ni lai kan kan 	你來看看	c=1 d=9.07488e-06 t=15065
ni lai ma 	你來嗎	c=1 d=0.0300468 t=15065
ni lai zu zhi ba 	你來組織吧	c=1 d=0.179964 t=15065
ni lao po 	你老婆	c=1 d=0.0761538 t=15065
ni le 	你了	c=1 d=2.40943e-18 t=15065
ni mei he 	你沒和	c=1 d=8.83699e-17 t=15065
ni men 	你們	c=25 d=0.695418 t=15065
ni men bu shi 	你們不是	c=1 d=0.00615802 t=15065
ni men de kan fa 	你們的看法	c=1 d=0.000724521 t=15065
ni men ji dian jie shu 	你們幾點結束	c=1 d=1.18285e-05 t=15065
ni men ke yi 	你們可以	c=2 d=0.149569 t=15065
ni men na ge 	你們那個	c=1 d=0.000902809 t=15065
ni men shi yao shen qing 	你們是要申請	c=1 d=6.14421e-06 t=15065
ni men tuan dui 	你們團隊	c=2 d=0.209117 t=15065
ni men xian kai shi 	你們先開始	c=1 d=0.0130365 t=15065
ni men yao dao 	你們要到	c=1 d=9.86286e-15 t=15065
ni men you 	你們有	c=1 d=0.00299743 t=15065
ni men zhe ji ge ren 	你們這幾個人	c=1 d=1.92279e-15 t=15065
ni men zuo de xi jie 	你們做的細節	c=1 d=5.40164e-20 t=15065
ni ming tian 	你明天	c=2 d=9.29977e-16 t=15065
ni na bian 	你那邊	c=2 d=1.88407e-11 t=15065
ni na li 	你那裏	c=3 d=0.0407622 t=15065
ni na li you ma 	你那裏有嗎	c=1 d=0.0614212 t=15065
ni neng can jia ma 	你能參加嗎	c=1 d=0.00019549 t=15065
ni rang ta 	你讓他	c=1 d=3.45973e-14 t=15065
ni sha shi hou you kong 	你啥時候有空	c=1 d=2.43174e-13 t=15065
ni shang ci 	你上次	c=1 d=0.00162866 t=15065
ni shao wei zhun bei yi xia 	你稍微準備一下	c=1 d=1.32701e-05 t=15065
ni shen qing le ma 	你申請了嗎	c=1 d=0.000147748 t=15065
ni shi 	你是	c=3 d=0.703324 t=15065
ni shi guan li yuan ba 	你是管理員吧	c=1 d=0.031117 t=15065
ni shi shuo 	你是說	c=1 d=1.46732e-11 t=15065
ni shi shuo wo men 	你是說我們	c=1 d=0.00308872 t=15065
ni shi xu yao 	你是需要	c=1 d=0.0121552 t=15065
ni shi yao 	你是要	c=1 d=1.59749e-11 t=15065
ni shi zai na ge 	你是在哪個	c=1 d=0.628135 t=15065
ni shou dao 	你收到	c=1 d=0.00137404 t=15065
ni shou dao le ba 	你收到了吧	c=1 d=1.11955e-05 t=15065
ni shou ji 	你手機	c=1 d=0.000212834 t=15065
ni shou tou shang 	你手頭上	c=1 d=2.39513e-11 t=15065
ni tai le guan le 	你太樂觀了	c=1 d=2.85513e-19 t=15065
ni ti dao 	你提到	c=1 d=1.23175e-11 t=15065
ni tong yi 	你同意	c=1 d=0.00188279 t=15065
ni tui jian de na ge 	你推薦的那個	c=1 d=0.000457378 t=15065
ni wen 	你問	c=0 d=7.4107e-06 t=15065
ni wen ta yi xia ba 	你問他一下吧	c=1 d=6.695e-16 t=15065
ni wen wen 	你問問	c=2 d=3.12082e-07 t=15065
ni wen yi xia 	你問一下	c=1 d=7.44785e-05 t=15065
ni xia zhou yi xiu jia 	你下週一休假	c=1 d=6.67999e-19 t=15065
ni xian 	你先	c=1 d=8.82797e-05 t=15065
ni xian ba 	你先把	c=2 d=0.00270991 t=15065
ni xian mang 	你先忙	c=2 d=0.000735471 t=15065
ni xian qi cao yi ge 	你先起草一個	c=1 d=0.00755912 t=15065
ni xian shao deng 	你先稍等	c=1 d=0.0448245 t=15065
ni xian zai 	你現在	c=2 d=0.10435 t=15065
ni xian zai shang lai ba 	你現在上來吧	c=1 d=3.93736e-06 t=15065
ni xian zai yong dian nao 	你現在用電腦	c=1 d=0.000188766 t=15065
ni xian zai you kong ma 	你現在有空嗎	c=1 d=0.000227127 t=15065
ni xian zuo 	你先做	c=1 d=7.79566e-13 t=15065
ni xian zuo qi ta de ba 	你先做其他的吧	c=1 d=7.45292e-13 t=15065
ni xiang 	你想	c=1 d=0.000539429 t=15065
ni xiang 	逆向	c=1 d=1.68289e-06 t=15065
ni xiang qi 	你想起	c=1 d=9.42406e-09 t=15065
ni xiang xiang 	你想想	c=1 d=1.22012e-17 t=15065
ni xin li qu 	你心裏去	c=1 d=1.14038e-16 t=15065
ni xiu gai 	你修改	c=1 d=9.66921e-17 t=15065
ni xu yao 	你需要	c=2 d=0.337382 t=15065
ni xu yao da yin chu lai 	你需要打印出來	c=1 d=6.98389e-13 t=15065
ni xu yao ma 	你需要嗎	c=1 d=2.59011e-20 t=15065
ni yao cong 	你要從	c=1 d=6.64102e-09 t=15065
ni yao de wen jian 	你要的文件	c=1 d=0.188247 t=15065
ni yao jia you le 	你要加油了	c=1 d=1.37877e-14 t=15065
ni yao shi 	你要是	c=0 d=0.000191125 t=15065
ni yao shi fang bian 	你要是方便	c=1 d=0.000889368 t=15065
ni yao shi jue de 	你要是覺得	c=1 d=1.10668e-16 t=15065
ni yao shi mei yi jian 	你要是沒意見	c=1 d=0.00192083 t=15065
ni yao shi you kong 	你要是有空	c=1 d=0.240508 t=15065
ni ye 	你也	c=1 d=0.0584257 t=15065
ni ye xiang xiang 	你也想想	c=1 d=0.00733572 t=15065
ni yi jing 	你已經	c=1 d=0.000150733 t=15065
ni yin xiang ni 	你印象你	c=1 d=0.486752 t=15065
ni ying gai 	你應該	c=3 d=8.34905e-09 t=15065
ni yong 	你用	c=1 d=3.46928e-17 t=15065
ni you 	你有	c=1 d=5.48234e-18 t=15065
ni you kong 	你有空	c=1 d=0.142987 t=15065
ni you kong de hua 	你有空的話	c=1 d=9.05421e-17 t=15065
ni you kong de hua kan kan 	你有空的話看看	c=1 d=9.08261e-16 t=15065
ni you kong kan kan 	你有空看看	c=1 d=2.15529e-05 t=15065
ni you kong ma 	你有空嗎	c=1 d=0.00640933 t=15065
ni you mei you 	你有沒有	c=2 d=0.84007 t=15065
ni you mei you xing qu 	你有沒有興趣	c=1 d=6.18342e-22 t=15065
ni you quan xian 	你有權限	c=3 d=0.000159641 t=15065
ni you quan xian fang wen ma 	你有權限訪問嗎	c=1 d=0.00160441 t=15065
ni you shen me 	你有什麼	c=2 d=4.90876e-12 t=15065
ni you shen me yi jian ma 	你有什麼意見嗎	c=1 d=3.78813e-22 t=15065
ni yuan lai 	你原來	c=1 d=2.48044e-11 t=15065
ni zai 	你再	c=1 d=2.70096e-13 t=15065
ni zai 	你在	c=6 d=0.832353 t=15065
ni zai ban gong shi ma 	你在辦公室嗎	c=2 d=1.89777e-08 t=15065
ni zhe hui you kong 	你這會有空	c=1 d=5.20964e-06 t=15065
ni zhe yang 	你這樣	c=1 d=0.0658748 t=15065
ni zhi dao 	你知道	c=1 d=1.6351e-20 t=15065
ni zhi dao ha 	你知道哈	c=1 d=0.00199922 t=15065
ni zhi jie 	你直接	c=2 d=2.16789e-05 t=15065
ni zhi shao 	你至少	c=1 d=0.000450569 t=15065
ni zhu chi 	你主持	c=1 d=4.79669e-05 t=15065
ni zhua jin shi jian 	你抓緊時間	c=1 d=0.00145173 t=15065
ni zi ji 	你自己	c=4 d=1.8236e-13 t=15065
ni zi ji an pai hao jiu xing le 	你自己安排好就行了	c=1 d=3.4615e-20 t=15065
ni zi ji jue ding 	你自己決定	c=1 d=0.00923273 t=15065
ni zu zhi hao 	你組織好	c=1 d=0.00108628 t=15065
ni zui hao 	你最好	c=1 d=2.22857e-16 t=15065
ni zuo 	你做	c=0 d=1.81958e-14 t=15065
ni zuo wan le mei 	你做完了沒	c=1 d=7.60348e-13 t=15065
nian 	年	c=8 d=0.888386 t=15065
nian di 	年底	c=1 d=1.09888e-21 t=15065
nian du 	年度	c=2 d=3.24984e-13 t=15065
nian gong zuo jing yan 	年工作經驗	c=1 d=3.83284e-13 t=15065
nian hou 	年後	c=2 d=1.69501e-12 t=15065
nian hui 	年會	c=4 d=0.00127903 t=15065
nian ji 	年紀	c=1 d=0.562705 t=15065
nian ji 	年級	c=1 d=1 t=5760
nian li mian 	年裏面	c=1 d=4.76449e-14 t=15065
nian ling 	年齡	c=1 d=0.603506 t=15065
nian qian 	年前	c=3 d=5.06579e-11 t=15065
nian tou 	念頭	c=4 d=2.13116e-08 t=15065
nian xian 	年限	c=1 d=1.55601e-17 t=15065
nian zhi nei 	年之內	c=1 d=1.55107e-17 t=15065
nie pan 	涅磐	c=0 d=0.1 t=5658
nie pan chong sheng 	涅磐重生	c=1 d=1 t=5659
nin 	您	c=0 d=0.00889361 t=15065
nin de 	您的	c=2 d=0.0930145 t=15065
nin jin tian 	您今天	c=1 d=0.013912 t=15065
nin kan 	您看	c=0 d=0.00426384 t=15065
nin kan kan 	您看看	c=1 d=0.025223 t=15065
nin kan zhe yang tian xie 	您看這樣填寫	c=1 d=0.0428521 t=15065
nin ming tian 	您明天	c=1 d=0.0142642 t=15065
nin na ge 	您那個	c=1 d=0.0127784 t=15065
ning yuan 	寧願	c=1 d=0.00135358 t=15065
niu 	牛	c=1 d=9.09683e-05 t=15065
niu lang zhi nv 	牛郎織女	c=1 d=0.00726273 t=15065
niu rou 	牛肉	c=0 d=7.01412e-06 t=15065
niu zhuan 	扭轉	c=1 d=0.000104638 t=15065
nong 	弄	c=3 d=0.786285 t=15065
nong dan 	濃淡	c=2 d=0.0156091 t=15065
nong dan bu tong de 	濃淡不同的	c=1 d=4.84489e-05 t=15065
nong qing chu 	弄清楚	c=2 d=9.81349e-09 t=15065
nong wan 	弄完	c=1 d=0.000285124 t=15065
nou rong 	耨榮	c=1 d=1 t=5085
nu huo 	怒火	c=1 d=3.47046e-21 t=15065
nu li 	努力	c=2 d=0.0215611 t=15065
nu li ti gao 	努力提高	c=0 d=0.0219808 t=15065
nu li ti gao ji neng 	努力提高技能	c=1 d=0.22091 t=15065
nuan nuan chang 	暖暖場	c=2 d=8.09686e-14 t=15065
nuo 	挪	c=0 d=6.10925e-15 t=15065
nuo dao 	挪到	c=2 d=0.0134774 t=15065
nuo ji ge 	挪幾個	c=1 d=6.08722e-14 t=15065
nuo yi 	挪移	c=0 d=1.29222e-17 t=15065
nuo yong 	挪用	c=1 d=8.7446e-11 t=15065
nv 	女	c=1 d=0.00362464 t=15065
nv lang 	女郎	c=1 d=5.13732e-18 t=15065
nv shi 	女士	c=1 d=3.91093e-15 t=15065
o 	哦	c=14 d=0.0157898 t=15065
o o 	哦哦	c=4 d=0.000607816 t=15065
ou yuan 	歐元	c=2 d=0.000455097 t=15065
pai 	派	c=1 d=0.000518277 t=15065
pai bu 	排布	c=1 d=0.767206 t=15065
pai chi 	排斥	c=0 d=0.1 t=5508
pai chi bing yin dao 	排斥並引導	c=1 d=1 t=5509
pai chu 	排除	c=1 d=4.05865e-10 t=15065
pai ge 	拍個	c=1 d=7.0177e-11 t=15065
pai hao 	排好	c=0 d=6.67999e-20 t=15065
pai le xu 	排了序	c=1 d=0.082085 t=15065
pai lie 	排列	c=5 d=3.64926e-13 t=15065
pai lie zu he 	排列組合	c=1 d=7.03707e-14 t=15065
pan 	盤	c=2 d=3.53071e-10 t=15065
pan ding 	判定	c=1 d=6.33241e-08 t=15065
pan duan 	判斷	c=1 d=0.0428521 t=15065
pan zi 	盤子	c=1 d=0.0529219 t=15065
pang bian 	旁邊	c=2 d=2.91048e-16 t=15065
pang bian de 	旁邊的	c=0 d=0.1 t=5576
pao 	跑	c=1 d=4.50645e-06 t=15065
pao bu 	跑步	c=0 d=4.66127e-22 t=15065
pao chu 	拋出	c=0 d=0.013466 t=15065
pao chu yi chang de 	拋出異常的	c=1 d=0.135335 t=15065
pao diao 	拋掉	c=1 d=4.52043e-13 t=15065
pao kai 	拋開	c=0 d=2.08187e-10 t=15065
pao xia lai 	跑下來	c=1 d=3.97072e-17 t=15065
pao yi ge da biao 	跑一個大表	c=1 d=9.71272e-11 t=15065
pei 	配	c=1 d=1 t=5153
pei 	陪	c=1 d=0.066205 t=15065
pei fang 	配方	c=1 d=0.427415 t=15065
pei he 	配合	c=3 d=0.609571 t=15065
pei he mo qi 	配合默契	c=1 d=1.61828e-16 t=15065
pei ni men 	陪你們	c=1 d=2.26772e-15 t=15065
pei xun 	培訓	c=16 d=0.0278258 t=15065
pei yang 	培養	c=3 d=0.0749679 t=15065
pei yang ji hua 	培養計劃	c=1 d=4.69516e-18 t=15065
pei yang ji neng 	培養技能	c=1 d=0.106459 t=15065
pei yang xing qu 	培養興趣	c=1 d=0.337902 t=15065
pei zhi 	配製	c=2 d=0.000642592 t=15065
pei zhi wen jian 	配置文件	c=1 d=2.13384e-05 t=15065
peng 	碰	c=0 d=0.00422141 t=15065
peng dao 	碰到	c=1 d=0.000459671 t=15065
peng de 	碰的	c=0 d=4.75381e-18 t=15065
peng de shi hou 	碰的時候	c=1 d=4.77764e-17 t=15065
peng ge tou ba 	碰個頭吧	c=1 d=2.58299e-17 t=15065
peng tou hui 	碰頭會	c=1 d=2.11261e-05 t=15065
peng yi xia 	碰一下	c=5 d=0.0424257 t=15065
peng you 	朋友	c=0 d=1.40624e-11 t=15065
peng you quan 	朋友圈	c=2 d=0.0816756 t=15065
pi 	批	c=0 d=0.0557106 t=15065
pi liang 	批量	c=0 d=0.0110251 t=15065
pi liang dao ru 	批量導入	c=1 d=0.110803 t=15065
pi pei 	匹配	c=29 d=0.000207111 t=15065
pi pei cheng gong 	匹配成功	c=1 d=3.3552e-06 t=15065
pi pei dao 	匹配到	c=1 d=6.83975e-07 t=15065
pi pei dao de 	匹配到的	c=1 d=2.94618e-06 t=15065
pi pei de shi 	匹配的是	c=4 d=8.0916e-10 t=15065
pi pei pu tong 	匹配普通	c=1 d=3.00672e-10 t=15065
pi ping 	批評	c=0 d=1.10916e-14 t=15065
pi ping yu zi wo pi ping 	批評與自我批評	c=1 d=3.43476e-17 t=15065
pi yi xia 	批一下	c=1 d=0.559898 t=15065
pi ying 	皮影	c=1 d=0.179066 t=15065
pi zhun 	批准	c=2 d=0.101344 t=15065
pi zhun hou de bao jia dan 	批准後的報價單	c=1 d=1 t=5397
pian 	偏	c=1 d=5.54516e-05 t=15065
pian fu 	篇幅	c=2 d=0.00860854 t=15065
pian pang 	偏胖	c=1 d=5.66296e-17 t=15065
piao 	票	c=0 d=3.98099e-19 t=15065
piao hu 	飄忽	c=0 d=3.16357e-21 t=15065
piao liu 	漂流	c=0 d=1.5037e-06 t=15065
pin 	品	c=1 d=2.84533e-08 t=15065
pin 	拼	c=1 d=0.878095 t=15065
pin du 	頻度	c=2 d=0.000282125 t=15065
pin fan 	頻繁	c=2 d=0.000356206 t=15065
pin fan ca chu 	頻繁擦除	c=1 d=1.22286e-14 t=15065
pin jie 	拼接	c=2 d=4.88591e-08 t=15065
pin lv 	頻率	c=1 d=0.000602152 t=15065
pin yin 	拼音	c=1 d=0.000186888 t=15065
ping 	屏	c=1 d=1.86019e-08 t=15065
ping 	平	c=0 d=0.1 t=5043
ping 	評	c=0 d=0.1 t=5693
ping ce 	評測	c=2 d=0.66365 t=15065
ping fen 	評分	c=0 d=3.05372e-17 t=15065
ping fu 	平復	c=1 d=9.4581e-22 t=15065
ping gu 	評估	c=0 d=0.000169512 t=15065
ping gu xin xi 	評估信息	c=1 d=0.00170362 t=15065
ping heng 	平衡	c=1 d=0.00382958 t=15065
ping jia biao zhun 	評價標準	c=1 d=6.51617e-21 t=15065
ping jiang 	評獎	c=0 d=1.81174e-22 t=15065
ping jiang biao zhun 	評獎標準	c=1 d=1.82082e-21 t=15065
ping jing 	平靜	c=1 d=4.15489e-21 t=15065
ping jing 	瓶頸	c=1 d=0.0585018 t=15065
ping jing xia lai 	平靜下來	c=1 d=1 t=5571
ping jun shu 	平均數	c=1 d=7.35596e-06 t=15065
ping mu 	屏幕	c=1 d=1.45302e-12 t=15065
ping pan 	評判	c=0 d=0.0136695 t=15065
ping pan biao zhun 	評判標準	c=2 d=0.137381 t=15065
ping ping dan dan 	平平淡淡	c=2 d=6.70163e-20 t=15065
ping tai 	平臺	c=3 d=0.0418952 t=15065
ping tai shang 	平臺上	c=1 d=0.00016826 t=15065
ping wei 	評委	c=1 d=0.0122773 t=15065
ping wen 	平穩	c=1 d=7.44785e-05 t=15065
ping xing 	平行	c=0 d=3.37374e-13 t=15065
ping xing zhi yuan 	平行志願	c=2 d=7.11919e-12 t=15065
ping xuan 	評選	c=1 d=0.634448 t=15065
ping yi 	平移	c=1 d=6.18994e-05 t=15065
po qie 	迫切	c=0 d=0.0348192 t=15065
pu tong 	普通	c=2 d=0.0558548 t=15065
pu tong gao zhong 	普通高中	c=0 d=3.90017e-13 t=15065
pu tong gao zhong xue xiao 	普通高中學校	c=1 d=3.91972e-12 t=15065
pu tong zi fu 	普通字符	c=9 d=4.53469e-09 t=15065
qi 	企	c=0 d=1.9647e-05 t=15065
qi 	其	c=0 d=1.68375e-13 t=15065
qi 	器	c=0 d=1.61773e-13 t=15065
qi 	期	c=1 d=3.71956e-13 t=15065
qi 	琪	c=2 d=5.40514e-20 t=15065
qi 	起	c=1 d=2.20677e-18 t=15065
qi 	齊	c=0 d=5.70025e-07 t=15065
qi cao 	起草	c=1 d=0.000890236 t=15065
qi cao yi xia 	起草一下	c=4 d=0.00157508 t=15065
qi dao 	起到	c=3 d=0.582748 t=15065
qi dao le 	起到了	c=2 d=0.000451368 t=15065
qi dong 	啓動	c=2 d=0.0308175 t=15065
qi dong hui yi 	啓動會議	c=1 d=2.3939e-05 t=15065
qi er 	其二	c=1 d=1 t=5512
qi fa 	啓發	c=0 d=6.3542e-20 t=15065
qi fa de 	啓發的	c=1 d=6.38606e-19 t=15065
qi jian 	期間	c=2 d=3.22754e-13 t=15065
qi lai 	起來	c=2 d=4.2583e-10 t=15065
qi ma 	起碼	c=2 d=0.000288735 t=15065
qi ming 	起名	c=1 d=1 t=5248
qi mo 	期末	c=2 d=1.51042e-16 t=15065
qi mo kao shi 	期末考試	c=1 d=6.5466e-17 t=15065
qi pian 	欺騙	c=1 d=1.4795e-20 t=15065
qi san 	其三	c=1 d=1 t=5525
qi shi 	其實	c=4 d=0.0689434 t=15065
qi shi jiu shi 	其實就是	c=2 d=0.0614212 t=15065
qi ta 	其他	c=17 d=0.120381 t=15065
qi ta de 	其他的	c=5 d=0.0336068 t=15065
qi ta de wen ti 	其他的問題	c=1 d=0.151829 t=15065
qi ta dou shi 	其他都是	c=1 d=0.0403566 t=15065
qi ta qing xing 	其他情形	c=1 d=4.079e-10 t=15065
qi ta ren 	其他人	c=2 d=0.000231716 t=15065
qi ta ren jiang 	其他人講	c=1 d=2.02172e-17 t=15065
qi ta tuan dui 	其他團隊	c=1 d=0.00491177 t=15065
qi ta tuan dui he zuo 	其他團隊合作	c=1 d=0.00509243 t=15065
qi ta zhu ti 	其他主題	c=1 d=5.11083e-16 t=15065
qi wang 	期望	c=7 d=0.0228227 t=15065
qi wang ba 	期望吧	c=1 d=1.84802e-19 t=15065
qi xue ye wu ya 	其學也無涯	c=1 d=1.69219e-12 t=15065
qi ye 	企業	c=5 d=0.0190611 t=15065
qi ye jian 	企業間	c=1 d=4.2756e-05 t=15065
qi ye jin rong hui qi 	企業金融惠企	c=1 d=0.000197455 t=15065
qi ye shu zi hua xiang 	企業數字畫像	c=1 d=3.80194e-06 t=15065
qi ye suo de shui 	企業所得稅	c=1 d=1.03347e-05 t=15065
qi ye wei xin 	企業微信	c=4 d=0.00098783 t=15065
qi ye wei xin fu wu qi 	企業微信服務器	c=1 d=0.000112226 t=15065
qi ye yun ying zhuang kuang 	企業運營狀況	c=1 d=4.05727e-06 t=15065
qi yi 	其一	c=1 d=1 t=5495
qi zhong 	其中	c=2 d=0.000107179 t=15065
qi zhong yi ge yuan yin shi 	其中一個原因是	c=1 d=0.00107547 t=15065
qi zi 	妻子	c=1 d=0.00470091 t=15065
qi zuo yong 	起作用	c=0 d=3.6084e-10 t=15065
qia hao 	恰好	c=1 d=0.249075 t=15065
qian 	前	c=1 d=0.0997588 t=15065
qian 	簽	c=1 d=0.000118571 t=15065
qian 	茜	c=2 d=1.49781e-17 t=15065
qian 	錢	c=0 d=3.08336e-13 t=15065
qian fang 	前方	c=0 d=0.158567 t=5523
